"","x"
"72","<U+0001F534>Hoy debatimos la NECESARIA Ley de Coordinación de Bomberos, (SPEIS), y he tenido un recuerdo para un colectivo olvidado y maltratado por el Gobierno: los Funcionarios de Prisiones.

¡Agentes de la autoridad YA!

#sosprisiones 
@BomberosCUBP 
@tu_abandono https://t.co/D39w1wzFqO"
"73","Nuestras propuestas para reactivar el sector turístico en Cataluña, tan abandonado por los gobernantes:

<U+2705> Bono turístico de 500€ para las familias
<U+2705> Plan Estratégico 2030 para favorecer la diversificación y digitalización
<U+2705> Suspender la tasa turística

#ParaQueGaneElTurismo https://t.co/VJ5Kssa6GN"
"74","<U+2757><U+FE0F> Exigimos que se investigue el posible uso de fondos públicos para pagar a una niñera de Pablo Iglesias e Irene Montero. 

<U+0001F3DB><U+FE0F>Hemos pedido explicaciones al Gobierno. 

<U+0001F449> Y además solicitamos las comparecencias de Iglesias y Montero en el @Congreso_Es https://t.co/b3rnmxn3lH"
"75","Fernando Simón, para variar, en su mundo:

“Igual debería saberlo,  pero lo cierto es que no sé el tipo de IVA que se aplica a las mascarillas”

Vive en la inopia o miente.<U+0001F926><U+200D><U+2642><U+FE0F> https://t.co/oCCZ3xwzF4"
"76","<U+26A0><U+FE0F>El independentismo es muy previsible y odiosamente repetitivo.

Victimismo, trincar competencias y culpar a otro de su pésima gestión. 

¡Ah! Rufián se ha quedado pegado al escaño, pido al Sr. @JoseMotatv que venga a separar a la persona del escaño, por favor... https://t.co/i9g6L93b3G"
"77","<U+0001F9E1>Hoy, en el #DíaMundialContraElCáncer, mandamos todo nuestro apoyo a aquellos que luchan contra esta terrible enfermedad. 

<U+0001F3DB><U+FE0F>Hemos registrado una iniciativa para la puesta en marcha de un Acuerdo contra el Cáncer

<U+2705>Trabajar en la prevención y en la detección temprana es vital. https://t.co/eCprs0DrFM"
"78","<U+0001F4E8> Hasta mañana se puede pedir el voto por correo.

<U+2705> Es muy fácil hacerlo y es una buena forma de votar el 14F.

<U+0001F34A> @InesArrimadas ""Tenemos que aprovechar esta oportunidad para dejar atrás el 'procés'"" #ParaQueGaneElTurismo https://t.co/IuUJYX71AD"
"79","<U+0001F397> El nacionalismo se gasta el dinero en la Nasa Catalana...
<U+274C> Pero después dicen que no hay dinero para el turismo.

<U+0001F34A> @InesArrimadas ""Muchos recursos se van en la corrupción del separatismo. Por eso necesitamos un gobierno limpio de @CiutadansCs"" #ParaQueGaneElTurismo https://t.co/M1h8mpHryB"
"80","¿Qué proponemos #ParaQueGaneElTurismo en Cataluña?

<U+0001F449> Bono turístico de 500 euros.
<U+0001F449> Modernizar y digitalizar el sector.
<U+0001F449> Eliminar la tasa turística durante los meses de pandemia.

<U+0001F34A> @InesArrimadas ""Cataluña es una potencia turística y debemos reactivarla"" https://t.co/HQnxQEYtcK"
"81","<U+2705> Fondo de Reactivación de 20.000 millones de euros.
<U+2705> Bajada del IVA.
<U+2705> Bonos turístico a nivel nacional.
<U+2705> Exenciones de cuotas.

<U+0001F34A> @InesArrimadas ""Hay muchas formas de ayudar al sector turístico y sus pymes. De eso dependen miles de empleos"" #ParaQueGaneElTurismo https://t.co/KZln8JirqT"
