"","x"
"91","<U+0001F534> Ya puedes seguir EN DIRECTO el acto #SanitatPúblicaCatMereix con nuestra candidata a la presidencia de la Generalitat, @jessicaalbiach, Gemma Tarafa, Carme Borrell y Joan Ramon Laporte. 

https://t.co/VnVKUnzFC0"
"92","<U+0001F3A5>“Com ells mateixos reconeixen, fórmula JxCat-ERC no funciona. 

L’única alternativa al desgovern passa per una aliança de les esquerres”.

<U+0001F469><U+0001F3FB><U+200D><U+0001F9B0> Entrevista a @jessicaalbiach al @naciodigital  <U+0001F447>
https://t.co/FCwRPSCjqZ https://t.co/gFvggd7Xs1"
"93","Los<U+0001F1EA><U+0001F1F8>millonarios<U+0001F1EA><U+0001F1F8>que<U+0001F1EA><U+0001F1F8>se<U+0001F1EA><U+0001F1F8>marchan<U+0001F1EA><U+0001F1F8>de<U+0001F1EA><U+0001F1F8>ESPAÑA<U+0001F1EA><U+0001F1F8>para<U+0001F1EA><U+0001F1F8>no<U+0001F1EA><U+0001F1F8>pagar<U+0001F1EA><U+0001F1F8>pensiones,<U+0001F1EA><U+0001F1F8>sanidad,<U+0001F1EA><U+0001F1F8>desempleo<U+0001F1EA><U+0001F1F8>o<U+0001F1EA><U+0001F1F8>educación,<U+0001F1EA><U+0001F1F8>ya<U+0001F1EA><U+0001F1F8>cuentan<U+0001F1EA><U+0001F1F8>con<U+0001F1EA><U+0001F1F8>el<U+0001F1EA><U+0001F1F8>apoyo<U+0001F1EA><U+0001F1F8>de<U+0001F1EA><U+0001F1F8>la<U+0001F1EA><U+0001F1F8>derecha<U+0001F1EA><U+0001F1F8>antipatriótica.<U+0001F1EA><U+0001F1F8>Serviles<U+0001F1EA><U+0001F1F8>con<U+0001F1EA><U+0001F1F8>los<U+0001F1EA><U+0001F1F8>millonarios,<U+0001F1EA><U+0001F1F8>matones<U+0001F1EA><U+0001F1F8>contra<U+0001F1EA><U+0001F1F8>los<U+0001F1EA><U+0001F1F8>más<U+0001F1EA><U+0001F1F8>vulnerables,<U+0001F1EA><U+0001F1F8>y<U+0001F1EA><U+0001F1F8>enemigos<U+0001F1EA><U+0001F1F8>de<U+0001F1EA><U+0001F1F8>España."
"94","Es normal que la derecha se escandalice cuando hacemos política, porque lo único que ellos saben hacer es el ridículo. <U+0001F926><U+200D><U+2642><U+FE0F><U+0001F447> https://t.co/TCCa45mFWy"
"95","El PP aprovechó la política para forrarse usando policías y jueces y llenando el CGPJ de magistrados afines para que nada se supiese. Luego su garantía era el silencio de Bárcenas hasta que ha hablado. Su última trinchera es el control del CGPJ, por eso no quieren que se renueve."
"96","¿Por qué el PP está tan empeñado en controlar el Consejo General del Poder Judicial bloqueando indefinidamente su renovación? Bárcenas os lo explica: https://t.co/rKYGrjur9G https://t.co/AVRB5UTuG2"
"97","Otra más para la colección https://t.co/ojBQOcqMpQ"
"98","<U+0001F3E5> Revertir retallades, augmentar la inversió fins el 7% del PIB...

Aquesta tarda a les <U+23F0> 19 h, parlem sobre la sanitat pública que Catalunya mereix amb:

<U+0001F5E3> @jessicaalbiach, @GemmaTarafa, @carme1848 i Joan Ramon Laporte

<U+0001F4BB> EN DIRECTE aquí <U+0001F449> https://t.co/FXPlKFKRrB https://t.co/cmrPoYfyP6"
"99","Destruid esto, LADRONES <U+0001F447> https://t.co/oNoNfFolhS"
"100","El PP vendió 3000 pisos públicos a un fondo buitre. Las familias sufrieron extorsiones y amenazas. La venta fue anulada por la justicia. 

Ayuso recurrió poniéndose del lado de los buitres

Recuperar los pisos para alquiler social tiene que ser el camino

https://t.co/5hPIUj8kuH"
"101","El PP bloquea la renovación del Consejo General del Poder Judicial https://t.co/aKUrr4vD6E"
"102","<U+0001F4A5> ¡¡¡BOOM!!! <U+0001F4A5>

Lo único que no ha podido triturar el PP es el máster ficticio de Casado. https://t.co/Igu2OtTFlT"
"103","<U+0001F4FD> @Isabel_Franco_ responde al odio de VOX:

""Si ustedes tienen fruta y verdura en sus mesas es porque personas migrantes las han recogido, empaquetado, transportado e incluso llevado hasta su mesa. 

Nadie arriesga su vida en una patera si no es por desesperación"". https://t.co/wXaEDVcWH7"
"104","""Mi madre está todo el día rezando.
Ella es cristiana, mora y judía.
Mi madre está todo el día rezando.
Ella se llama Andalucía.""

Hermosa y emocionante lección de @Isabel_Franco_ a los racistas de VOX. https://t.co/Tadc2xvHIh"
