"","x"
"94","<U+0001F3A5> [VÍDEO] @PilarVallugera sobre la proposta de llei estatal de bombers: ""Como ustedes tienen un caos <U+274C> , pues nos van a centralizar a nosotros, que tenemos un cuerpo de bomberos <U+0001F469><U+200D><U+0001F692><U+0001F468><U+200D><U+0001F692>  reconocido internacionalmente. No lo vamos a permitir""<U+0001F447> https://t.co/iSo8hke4du"
"95","Gran notícia, el compromís d'@Esquerra_ERC de recuperar una conselleria per donar resposta al repte de la transició ecològica <U+0001F49A><U+267B><U+FE0F> https://t.co/VYbteueq46"
"96","Ja fa massa temps que la Fiscalia, en conjunció amb el Tribunal Suprem, s'han convertit en dues eines de repressió del règim. Un estat sense justícia és un estat fallit. Tot el suport i la solidaritat @TamaraVila83. https://t.co/ITJ9yixHtR"
"97","Aquest dissabte, a la Nau Bostik i virtual! No us ho perdeu <U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F> https://t.co/9agLyfBDWq"
"98",".@ArnaldoOtegi (@ehbildu) i @anaponton (@obloque) faran costat a @Esquerra_ERC al míting central a #Girona https://t.co/8WRnenAIRG #AlCostatDeLaGent"
"99","Oriol @Junqueras al @diariARA: ""El PSC ens veu com el seu principal rival perquè som l’únic partit que pot fer trontollar el seu domini de les institucions a l’àrea metropolitana"" https://t.co/shhtmOpWhy"
"100","“De Bòsnia a Síria”, amb @raulromeva i Ruben @wagensberg. Demà divendres a https://t.co/qB6qSUbSn9 . #AlCostatDeLaGent https://t.co/bCukaFfOBs"
"101","<U+0001F4E2>[NOTÍCIA] @Esquerra_ERC crearà una conselleria d’Acció pel Clima<U+0001F30D><U+0001F49A> en el proper Govern 

<U+0001F4F2>Tota la informació aquí <U+0001F447>
https://t.co/UCP68nQ8DW"
"102","Avui #DiaMundialContraElCancer, abraçada a qui ha perdut alguna persona estimada, reconeixement als professionals sanitaris que combaten la malaltia, i molta força a tota la gent que lluita per superar-la. <U+0001F49A> https://t.co/azwZQmnPFW"
"103","Estimada Laura, va ser un honor  compartir presó amb tu i amb en Joan Tortosa a Mas d'Enric. Sempre al vodtre costat. Us estimo. https://t.co/UapdiDhhb0"
"104","Voleu conèixer una mica més qui soc? Mare de 3 fills, vallenca d'origen, tarragonina d'adopció i periodista! Encapçalo el projecte d'@Esquerra_ERC a les comarques del Camp de Tarragona, Terres de l'Ebre i Baix Penedès. 
I amb sol objectiu: seguir estant #AlCostatDeLaGent <U+0001F46B><U+0001F3FB><U+0001F49B> https://t.co/d0hjFPbVJM"
